wavelength spectrum_sum 3smoothed_sum spectrum_optimal 3smoothed_optimal spectrum_snr
4608.4 743.285 701.047 703.703 646.963 22.2153
4611.3 674.334 711.664 643.695 677.534 20.749
4614.21 717.373 703.661 685.203 669.214 21.5303
4617.11 719.277 718.847 678.745 686.958 21.7781
4620.02 719.891 706.394 696.928 677.394 21.4446
4622.92 680.013 709.497 656.508 665.622 20.6694
4625.82 728.586 724.844 643.429 656.657 22.0148
4628.73 765.932 739.638 670.034 650.256 22.6429
4631.63 724.397 728.196 637.305 642.055 21.4991
4634.53 694.261 713.54 618.826 645.589 20.8758
4637.44 721.963 718.865 680.638 664.641 21.8354
4640.34 740.371 768.694 694.461 711.111 21.7427
4643.24 843.749 778.23 758.234 718.251 24.4573
4646.15 750.571 789.226 702.056 724.661 22.3918
4649.05 773.359 747.255 713.692 688.859 22.8744
4651.95 717.836 762.483 650.828 689.941 21.7758
4654.86 796.253 743.684 705.301 677.945 23.1193
4657.76 716.962 751.429 677.705 677.384 21.4352
4660.66 741.073 735.605 649.146 667.625 21.8823
4663.57 748.781 730.202 676.024 655.435 22.1475
4666.47 700.752 734.131 641.136 663.786 20.6445
4669.37 752.86 726.984 674.197 644.688 22.202
4672.28 727.338 770.24 618.73 673.932 21.598
4675.18 830.52 768.464 728.868 678.085 23.6288
4678.08 747.532 782.875 686.657 694.807 21.7539
4680.98 770.573 792.044 668.896 718.362 22.3509
4683.89 858.026 802.087 799.533 740.119 24.3356
4686.79 777.663 826.486 751.929 759.107 22.8302
4689.69 843.77 805.517 725.86 721.755 23.9023
4692.59 795.118 774.251 687.476 710.788 22.8845
4695.5 683.865 726.411 719.028 695.011 20.3844
4698.4 700.251 734.632 678.528 744.236 20.608
4701.3 819.78 770.417 835.151 781.912 23.1951
4704.2 791.219 776.958 832.058 799.163 22.7296
4707.11 719.875 755.447 730.28 782.71 21.1808
4710.01 755.247 731.619 785.792 765.485 21.8976
4712.91 719.737 731.356 780.384 759.543 21.0148
4715.81 719.084 711.095 712.452 745.271 21.1772
4718.71 694.464 718.161 742.976 737.193 20.6178
4721.62 740.935 739.225 756.151 769.715 21.7486
4724.52 782.277 743.968 810.018 768.301 22.2965
4727.42 708.693 727.322 738.735 752.912 20.5619
4730.32 690.996 680.843 709.982 705.087 20.5328
4733.22 642.84 677.531 666.543 693.807 19.4297
4736.12 698.757 675.744 704.895 694.249 20.5569
4739.03 685.636 718.296 711.309 741.427 20.6577
4741.93 770.496 724.845 808.077 757.691 22.03
4744.83 718.404 743.808 753.687 768.28 21.0604
4747.73 742.523 735.539 743.078 761.391 21.5609
4750.63 745.691 738.484 787.407 744.768 21.6311
4753.53 727.238 721.059 703.819 732.711 21.111
4756.43 690.249 722.766 706.908 731.679 20.5145
4759.34 750.81 728.022 784.309 756.46 21.9051
4762.24 743.008 745.623 778.163 765.53 21.7619
4765.14 743.052 738.692 734.116 753.905 21.744
4768.04 730.016 722.495 749.436 728.583 21.5825
4770.94 694.416 724.935 702.196 753.123 20.398
4773.84 750.373 709.392 807.737 747.812 21.5455
4776.74 683.388 721.96 733.502 774.947 20.1365
4779.64 732.12 706.626 783.601 752.967 21.2723
4782.54 704.371 717.467 741.798 757.4 20.7791
4785.44 715.911 716.395 746.801 763.626 20.7717
4788.34 728.904 760.487 802.279 796.199 21.0782
4791.24 836.647 780.959 839.518 816.079 23.7712
4794.15 777.326 772.155 806.44 785.225 22.2246
4797.05 702.493 748.705 709.718 776.681 20.5261
4799.95 766.295 733.8 813.884 768.079 21.9405
4802.85 732.611 771.785 780.635 821.983 21.348
4805.75 816.449 778.106 871.43 824.488 22.6061
4808.65 785.258 790.841 821.398 836.896 22.0915
4811.55 770.817 771.03 817.86 809.975 21.6895
4814.45 757.017 760.316 790.667 812.488 21.5583
